epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,357.454,3.35194,0.94586,1.74641,0.78885,0.86578,0.89945,0.72138,1.43712,0.75842,1.7637,7.89628e-05,7.89628e-05,7.89628e-05
63,363.162,3.00282,0.93897,1.75846,0.81384,0.87291,0.91547,0.7331,1.44448,0.73611,1.75896,7.83231e-05,7.83231e-05,7.83231e-05
64,368.889,3.06832,0.92714,1.73658,0.78412,0.88443,0.92169,0.73956,1.44676,0.75602,1.74916,7.76766e-05,7.76766e-05,7.76766e-05
65,374.406,3.022,0.90889,1.73071,0.84271,0.86158,0.92053,0.74039,1.40376,0.73978,1.73157,7.70234e-05,7.70234e-05,7.70234e-05
66,380.056,3.31239,0.91152,1.69151,0.84045,0.8885,0.9301,0.75496,1.37749,0.72119,1.72115,7.63637e-05,7.63637e-05,7.63637e-05
67,385.772,3.04867,0.92165,1.6955,0.86482,0.89452,0.93719,0.74878,1.4253,0.72341,1.7206,7.56976e-05,7.56976e-05,7.56976e-05
68,391.377,3.11411,0.90586,1.67551,0.85671,0.88415,0.93532,0.7432,1.42732,0.70354,1.70801,7.50252e-05,7.50252e-05,7.50252e-05
69,397.065,3.0167,0.88418,1.67964,0.85229,0.89763,0.93777,0.75467,1.39413,0.70276,1.70299,7.43468e-05,7.43468e-05,7.43468e-05
70,402.776,2.98103,0.87525,1.66866,0.78231,0.86427,0.93156,0.7411,1.42656,0.80664,1.69567,7.36625e-05,7.36625e-05,7.36625e-05
71,408.557,2.965,0.89105,1.66712,0.83906,0.86832,0.933,0.76045,1.3264,0.73458,1.67981,7.29725e-05,7.29725e-05,7.29725e-05
72,414.09,3.13717,0.87744,1.65317,0.86792,0.88575,0.9379,0.75272,1.36969,0.69634,1.67375,7.2277e-05,7.2277e-05,7.2277e-05
73,418.306,2.88608,0.86077,1.66816,0.87534,0.9048,0.9439,0.76818,1.32735,0.68477,1.66082,7.15761e-05,7.15761e-05,7.15761e-05
74,423.354,2.78138,0.85262,1.67172,0.8523,0.88804,0.94116,0.76965,1.29038,0.7147,1.65705,7.087e-05,7.087e-05,7.087e-05
75,428.895,2.78458,0.85666,1.64279,0.86247,0.8938,0.93991,0.76679,1.30726,0.67989,1.65389,7.01588e-05,7.01588e-05,7.01588e-05
76,434.416,2.99912,0.84025,1.63052,0.87548,0.90072,0.94704,0.77215,1.30668,0.67196,1.64917,6.94428e-05,6.94428e-05,6.94428e-05
77,440.041,2.69707,0.84732,1.64468,0.88442,0.90386,0.94972,0.78006,nan,nan,nan,6.87222e-05,6.87222e-05,6.87222e-05
78,445.673,2.848,0.84048,1.59105,0.89446,0.91055,0.95364,0.77496,1.32316,0.66478,1.63512,6.7997e-05,6.7997e-05,6.7997e-05
79,451.218,2.82917,0.84357,1.6159,0.87229,0.89563,0.95076,0.77979,1.29614,0.71266,1.62146,6.72675e-05,6.72675e-05,6.72675e-05
