epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3484.89,2.76023,0.91783,1.49439,0.84467,0.88461,0.95299,0.76126,1.50414,0.78551,1.49464,3.15572e-05,3.15572e-05,3.15572e-05
127,3511.57,2.65746,0.90737,1.50719,0.84707,0.8839,0.9533,0.76948,1.43073,0.77899,1.48812,3.08412e-05,3.08412e-05,3.08412e-05
128,3538.29,2.63887,0.91029,1.49643,0.8419,0.87454,0.95249,0.76507,1.46543,0.79287,1.48622,3.013e-05,3.013e-05,3.013e-05
129,3565.03,2.71165,0.92534,1.49977,0.83256,0.87792,0.94863,0.76345,1.44713,0.79107,1.48572,2.94239e-05,2.94239e-05,2.94239e-05
130,3591.81,2.63242,0.91912,1.51113,0.86255,0.87447,0.95057,0.75889,1.48697,0.77442,1.48208,2.8723e-05,2.8723e-05,2.8723e-05
131,3618.45,2.63223,0.9112,1.48871,0.86514,0.8902,0.95347,0.76092,1.5239,0.76063,1.48701,2.80275e-05,2.80275e-05,2.80275e-05
132,3645.11,2.69697,0.90974,1.48243,0.86543,0.88413,0.95481,0.76973,1.46176,0.76067,1.48451,2.73375e-05,2.73375e-05,2.73375e-05
133,3671.91,2.68557,0.90783,1.47604,0.86136,0.8853,0.95379,0.75876,1.51701,0.77307,1.47767,2.66532e-05,2.66532e-05,2.66532e-05
134,3698.67,2.63939,0.91607,1.48854,0.83731,0.88736,0.95307,0.76956,1.43391,0.78023,1.47427,2.59748e-05,2.59748e-05,2.59748e-05
135,3725.33,2.64808,0.91473,1.4964,0.87028,0.88536,0.95596,0.77148,1.44331,0.75425,1.47614,2.53024e-05,2.53024e-05,2.53024e-05
136,3752.12,2.67265,0.92259,1.49068,0.86743,0.89141,0.95399,0.76055,1.49845,0.76044,1.47096,2.46363e-05,2.46363e-05,2.46363e-05
137,3778.79,2.75452,0.92294,1.47201,0.85315,0.88835,0.95237,0.76626,1.43758,0.76247,1.47095,2.39766e-05,2.39766e-05,2.39766e-05
138,3805.43,2.58869,0.91539,1.47601,0.86382,0.89518,0.95329,0.76064,1.45187,0.75693,1.46469,2.33234e-05,2.33234e-05,2.33234e-05
139,3832.16,2.702,0.91483,1.4797,0.86971,0.89021,0.95682,0.76797,1.44119,0.75123,1.46172,2.26769e-05,2.26769e-05,2.26769e-05
140,3858.81,2.56819,0.91068,1.49003,0.87701,0.90845,0.9571,0.7717,1.41176,0.73656,1.4569,2.20372e-05,2.20372e-05,2.20372e-05
141,3885.56,2.58785,0.89733,1.47575,0.86939,0.89884,0.95592,0.76685,1.44864,0.74742,1.46241,2.14046e-05,2.14046e-05,2.14046e-05
142,3912.18,2.61573,0.9028,1.47362,0.85451,0.88115,0.95198,0.762,1.45354,0.77254,1.46022,2.07792e-05,2.07792e-05,2.07792e-05
143,3938.87,2.64119,0.90885,1.4661,0.86638,0.89514,0.95237,0.76329,1.45126,0.75457,1.45695,2.01611e-05,2.01611e-05,2.01611e-05
144,3965.65,2.58999,0.91091,1.47817,0.86145,0.88505,0.95165,0.76231,1.44631,0.75859,1.45135,1.95505e-05,1.95505e-05,1.95505e-05
145,3992.38,2.60827,0.90427,1.47638,0.84994,0.88674,0.95242,0.7664,1.43781,0.76522,1.45356,1.89475e-05,1.89475e-05,1.89475e-05
146,4019.09,2.63899,0.90312,1.46725,0.86277,0.89384,0.95408,0.76331,1.47668,0.7545,1.45715,1.83523e-05,1.83523e-05,1.83523e-05
147,4045.73,2.5701,0.90693,1.47762,0.8756,0.90188,0.95483,0.76919,1.43041,0.73869,1.45105,1.77651e-05,1.77651e-05,1.77651e-05
148,4072.43,2.56811,0.90124,1.4649,0.86534,0.89344,0.95184,0.77059,1.39963,0.74366,1.44696,1.71859e-05,1.71859e-05,1.71859e-05
149,4099.09,2.58529,0.9018,1.4696,0.85279,0.89552,0.95025,0.76587,1.40814,0.75729,1.44322,1.66149e-05,1.66149e-05,1.66149e-05
150,4125.79,2.51486,0.9002,1.46892,0.88203,0.89691,0.95239,0.76799,1.39754,0.73135,1.44132,1.60523e-05,1.60523e-05,1.60523e-05
151,4152.45,2.59722,0.90896,1.46948,0.88951,0.89916,0.9553,0.76652,1.43488,0.73134,1.44515,1.54982e-05,1.54982e-05,1.54982e-05
152,4179.16,2.55714,0.89056,1.46825,0.87089,0.89266,0.9541,0.7662,1.42133,0.74623,1.44481,1.49527e-05,1.49527e-05,1.49527e-05
153,4205.76,2.57318,0.90477,1.45975,0.88673,0.89579,0.95418,0.76193,1.44768,0.73886,1.43906,1.44161e-05,1.44161e-05,1.44161e-05
154,4232.39,2.57393,0.90922,1.46837,0.8723,0.89706,0.95571,0.77062,1.38858,0.74152,1.43456,1.38883e-05,1.38883e-05,1.38883e-05
155,4258.96,2.60263,0.89297,1.46273,0.84821,0.87822,0.95275,0.76294,1.45508,0.77675,1.44356,1.33695e-05,1.33695e-05,1.33695e-05
156,4285.66,2.5788,0.89472,1.45931,0.87259,0.89966,0.95537,0.76841,1.41735,0.73955,1.43772,1.28599e-05,1.28599e-05,1.28599e-05
157,4312.38,2.56484,0.9015,1.46382,0.8613,0.89283,0.9534,0.76457,1.44245,0.75269,1.43733,1.23596e-05,1.23596e-05,1.23596e-05
158,4339.05,2.67978,0.89859,1.44032,0.88184,0.90082,0.95263,0.76984,1.40628,0.72703,1.43502,1.18687e-05,1.18687e-05,1.18687e-05
159,4365.93,2.50955,0.90139,1.45305,0.86479,0.89276,0.9531,0.77212,1.38376,0.74336,1.43356,1.13873e-05,1.13873e-05,1.13873e-05
160,4392.82,2.64303,0.89969,1.46005,0.88874,0.90717,0.95669,0.77169,1.42273,0.72547,1.43557,1.09156e-05,1.09156e-05,1.09156e-05
161,4419.44,2.58336,0.90914,1.46605,0.86646,0.89986,0.95493,0.77144,1.3888,0.74136,1.43162,1.04537e-05,1.04537e-05,1.04537e-05
162,4446.04,2.57598,0.89491,1.45335,0.85083,0.88399,0.95241,0.76169,1.46363,0.77052,1.43808,1.00016e-05,1.00016e-05,1.00016e-05
163,4472.63,2.61926,0.90182,1.45934,0.85651,0.88512,0.95167,0.76859,1.39441,0.7599,1.42746,9.55951e-06,9.55951e-06,9.55951e-06
164,4499.24,2.54141,0.89032,1.45824,0.86452,0.88933,0.95349,0.76622,1.43059,0.75291,1.43408,9.12754e-06,9.12754e-06,9.12754e-06
165,4525.85,2.49196,0.89334,1.46177,0.86628,0.90129,0.95303,0.7656,1.4391,0.7421,1.43543,8.70577e-06,8.70577e-06,8.70577e-06
166,4552.52,2.58925,0.90201,1.44987,0.87372,0.89216,0.95302,0.76866,1.39934,0.73939,1.42719,8.29431e-06,8.29431e-06,8.29431e-06
167,4579.22,2.54064,0.89207,1.44685,0.8668,0.90201,0.9546,0.77263,1.39957,0.73551,1.43139,7.89327e-06,7.89327e-06,7.89327e-06
168,4605.93,2.53349,0.89187,1.44079,0.8675,0.9029,0.95446,0.77251,1.37417,0.73759,1.42282,7.50274e-06,7.50274e-06,7.50274e-06
169,4632.51,2.53505,0.90114,1.44306,0.86199,0.88949,0.95446,0.77117,1.39074,0.75072,1.42375,7.12282e-06,7.12282e-06,7.12282e-06
