epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,187.426,3.76187,0.95069,0.86821,0.68892,0.84703,0.82903,0.65309,2.25463,0.84585,0.84141,7.83231e-05,7.83231e-05,7.83231e-05
64,190.461,3.80409,0.93277,0.86396,0.73659,0.84154,0.85617,0.6614,2.32228,0.78858,0.84192,7.76766e-05,7.76766e-05,7.76766e-05
65,193.508,3.83041,0.93399,0.86372,0.74331,0.83874,0.85494,0.67807,2.19394,0.78008,0.83895,7.70234e-05,7.70234e-05,7.70234e-05
66,196.602,4.12101,0.9286,0.86058,0.721,0.85219,0.85751,0.66452,2.29129,0.80474,0.84208,7.63637e-05,7.63637e-05,7.63637e-05
67,199.616,3.92219,0.92915,0.86268,0.63941,0.8813,0.85663,0.67648,2.26272,0.91918,0.84142,7.56976e-05,7.56976e-05,7.56976e-05
68,202.681,3.94276,0.92688,0.86016,0.73239,0.84794,0.87894,0.69651,2.19818,0.82711,0.83866,7.50252e-05,7.50252e-05,7.50252e-05
69,205.883,3.85799,0.92002,0.86103,0.75619,0.84799,0.8715,0.68823,2.20757,0.76774,0.83829,7.43468e-05,7.43468e-05,7.43468e-05
70,208.889,3.86034,0.90778,0.86147,0.64306,0.88453,0.87099,0.68731,2.23158,0.92396,0.83791,7.36625e-05,7.36625e-05,7.36625e-05
71,211.864,3.82101,0.91696,0.86033,0.65215,0.88334,0.87674,0.69624,2.19318,0.89916,0.83867,7.29725e-05,7.29725e-05,7.29725e-05
72,214.864,3.94594,0.91274,0.8622,0.75021,0.86609,0.88207,0.69824,2.18394,0.76454,0.83912,7.2277e-05,7.2277e-05,7.2277e-05
73,217.871,3.67595,0.89546,0.86139,0.77053,0.84903,0.88155,0.69027,2.19007,0.75442,0.83899,7.15761e-05,7.15761e-05,7.15761e-05
74,220.929,3.61721,0.89168,0.86046,0.76884,0.85428,0.89039,0.70775,2.15066,0.77609,0.83589,7.087e-05,7.087e-05,7.087e-05
75,223.953,3.71617,0.90276,0.86149,0.73364,0.84411,0.89074,0.70099,2.21762,0.82906,0.83822,7.01588e-05,7.01588e-05,7.01588e-05
76,226.997,3.94317,0.89154,0.85904,0.65846,0.88072,0.88297,0.6871,2.2668,0.89633,0.83926,6.94428e-05,6.94428e-05,6.94428e-05
77,230.018,3.57993,0.88784,0.86215,0.75802,0.8426,0.89621,0.7191,2.12017,0.78711,0.8345,6.87222e-05,6.87222e-05,6.87222e-05
78,233.142,3.85301,0.90252,0.85287,0.78962,0.84746,0.90467,0.71322,2.16646,0.7697,0.8355,6.7997e-05,6.7997e-05,6.7997e-05
79,236.291,3.69871,0.89383,0.85953,0.78149,0.85272,0.89791,0.71688,2.09792,0.76087,0.83508,6.72675e-05,6.72675e-05,6.72675e-05
80,239.337,3.8365,0.8856,0.85796,0.78462,0.8532,0.90122,0.7168,2.11808,0.76533,0.83704,6.65339e-05,6.65339e-05,6.65339e-05
81,242.38,3.8196,0.879,0.85398,0.8091,0.84724,0.91274,0.70976,2.20956,0.76093,0.83796,6.57963e-05,6.57963e-05,6.57963e-05
82,245.498,3.7173,0.87591,0.85708,0.79911,0.85172,0.90995,0.73095,2.08535,0.7591,0.83311,6.5055e-05,6.5055e-05,6.5055e-05
83,247.733,3.83027,0.87477,0.85616,0.82207,0.84727,0.90967,0.72413,2.09902,0.72974,0.83473,6.43101e-05,6.43101e-05,6.43101e-05
84,249.627,3.79194,0.87077,0.85652,0.78213,0.85295,0.91727,0.73202,2.10296,0.79281,0.83447,6.35617e-05,6.35617e-05,6.35617e-05
85,251.488,3.74957,0.87818,0.85544,0.72166,0.86495,0.91035,0.73139,2.07143,0.84301,0.83318,6.28101e-05,6.28101e-05,6.28101e-05
86,253.335,3.77509,0.87788,0.85564,0.75605,0.85509,0.91246,0.7319,2.06858,0.80562,0.83326,6.20555e-05,6.20555e-05,6.20555e-05
87,255.171,3.41735,0.85557,0.86056,0.81776,0.8584,0.92011,0.73485,2.07408,0.73463,0.8333,6.12981e-05,6.12981e-05,6.12981e-05
88,257.682,3.65964,0.85763,0.85443,0.77434,0.86343,0.92709,0.73843,2.09961,0.78272,0.83372,6.0538e-05,6.0538e-05,6.0538e-05
89,260.729,3.63784,0.85572,0.85468,0.71366,0.88493,0.9167,0.73666,2.06069,0.83051,0.83386,5.97754e-05,5.97754e-05,5.97754e-05
90,263.782,3.73391,0.86098,0.85517,0.75436,0.86965,0.92191,0.73896,2.0718,0.78885,0.83366,5.90105e-05,5.90105e-05,5.90105e-05
91,266.865,3.71862,0.85422,0.85405,0.76658,0.86443,0.92573,0.74177,2.07637,0.77831,0.83377,5.82435e-05,5.82435e-05,5.82435e-05
92,269.972,3.72404,0.85324,0.85534,0.81577,0.86218,0.92739,0.74477,2.05078,0.72775,0.83181,5.74746e-05,5.74746e-05,5.74746e-05
93,273.055,3.61205,0.85865,0.85595,0.79626,0.86709,0.92671,0.74788,2.03494,0.74641,0.83192,5.6704e-05,5.6704e-05,5.6704e-05
94,276.153,3.44073,0.84143,0.85559,0.75405,0.87553,0.92619,0.74547,2.05875,0.78362,0.83094,5.59318e-05,5.59318e-05,5.59318e-05
