epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,219.311,10.6025,1.41738,2.25641,0.60071,0.81481,0.71148,0.37552,7.66458,1.25404,2.38274,8.38141e-05,8.38141e-05,8.38141e-05
55,224.125,10.8439,1.41676,2.2717,0.60563,0.80701,0.71676,0.39426,6.84431,1.23531,2.36443,8.32349e-05,8.32349e-05,8.32349e-05
56,228.646,10.5787,1.40907,2.2267,0.61255,0.82705,0.73246,0.41584,6.14804,1.22191,2.33544,8.26477e-05,8.26477e-05,8.26477e-05
57,233.114,10.2436,1.39306,2.23443,0.62386,0.82108,0.7404,0.42261,6.18269,1.21836,2.3272,8.20525e-05,8.20525e-05,8.20525e-05
58,237.528,10.5788,1.39835,2.20606,0.61782,0.81638,0.73431,0.42104,6.1742,1.22401,2.33859,8.14495e-05,8.14495e-05,8.14495e-05
59,241.981,10.315,1.38611,2.18646,0.61579,0.83816,0.74177,0.41057,6.55843,1.23924,2.337,8.08389e-05,8.08389e-05,8.08389e-05
60,246.389,9.65755,1.37097,2.20974,0.62127,0.8367,0.74758,0.4312,5.68218,1.19432,2.29947,8.02208e-05,8.02208e-05,8.02208e-05
61,250.993,10.323,1.39101,2.16827,0.63952,0.81441,0.75464,0.44816,5.57536,1.18345,2.30671,7.95954e-05,7.95954e-05,7.95954e-05
62,255.365,10.0928,1.37725,2.19558,0.62353,0.82717,0.74976,0.41025,6.73516,1.23638,2.33318,7.89628e-05,7.89628e-05,7.89628e-05
63,258.955,9.46637,1.35938,2.22421,0.6375,0.82426,0.75758,0.44526,5.79884,1.19892,2.28889,7.83231e-05,7.83231e-05,7.83231e-05
64,262.673,9.40613,1.35649,2.15831,0.64943,0.81669,0.7668,0.4444,5.31418,1.16137,2.26162,7.76766e-05,7.76766e-05,7.76766e-05
65,266.161,9.12547,1.33738,2.16484,0.6491,0.8157,0.76448,0.44829,5.63613,1.17662,2.28621,7.70234e-05,7.70234e-05,7.70234e-05
66,270.095,9.57686,1.34899,2.14069,0.64054,0.82679,0.76299,0.42963,6.0696,1.22719,2.29371,7.63637e-05,7.63637e-05,7.63637e-05
67,273.682,9.14052,1.33974,2.14873,0.65142,0.82156,0.77064,0.46105,5.37699,1.18134,2.2606,7.56976e-05,7.56976e-05,7.56976e-05
68,277.751,8.9607,1.32188,2.11461,0.64867,0.8262,0.77009,0.46083,5.29184,1.15489,2.24905,7.50252e-05,7.50252e-05,7.50252e-05
69,282.347,8.8461,1.32702,2.12463,0.66091,0.82172,0.77351,0.45289,5.54841,1.17583,2.2573,7.43468e-05,7.43468e-05,7.43468e-05
70,286.763,8.69351,1.31354,2.11818,0.66838,0.81782,0.78351,0.48152,4.88007,1.16061,2.23371,7.36625e-05,7.36625e-05,7.36625e-05
