epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,310.296,2.92864,1.05583,1.80133,0.56101,0.88478,0.70815,0.56661,1.44432,0.97229,1.82123,7.83231e-05,7.83231e-05,7.83231e-05
64,316.083,2.99539,1.0549,1.77907,0.57746,0.8847,0.72114,0.58656,1.39999,0.98014,1.8068,7.76766e-05,7.76766e-05,7.76766e-05
65,321.587,2.93194,1.04304,1.76962,0.57166,0.87188,0.72799,0.58877,1.38404,0.95375,1.79079,7.70234e-05,7.70234e-05,7.70234e-05
66,327.476,3.19708,1.04642,1.73095,0.60047,0.83685,0.73783,0.59737,1.39272,0.96445,1.78554,7.63637e-05,7.63637e-05,7.63637e-05
67,333.222,2.96754,1.03941,1.73088,0.60591,0.82764,0.74928,0.59979,1.43339,0.95619,1.77953,7.56976e-05,7.56976e-05,7.56976e-05
68,338.958,3.03581,1.03461,1.71135,0.62026,0.83565,0.77159,0.61602,1.41678,0.9051,1.7577,7.50252e-05,7.50252e-05,7.50252e-05
69,344.91,2.91546,1.0229,1.71692,0.64523,0.83564,0.78419,0.63265,1.38899,0.89889,1.75273,7.43468e-05,7.43468e-05,7.43468e-05
70,350.615,2.92119,1.01419,1.70289,0.67963,0.8139,0.81101,0.64252,1.4268,0.89987,1.74734,7.36625e-05,7.36625e-05,7.36625e-05
71,356.627,2.89018,1.00978,1.69478,0.69829,0.83741,0.83365,0.67364,1.36748,0.89146,1.73394,7.29725e-05,7.29725e-05,7.29725e-05
72,362.378,3.06389,1.01063,1.68668,0.64457,0.86772,0.81389,0.64631,1.40423,0.84625,1.72208,7.2277e-05,7.2277e-05,7.2277e-05
73,367.883,2.82751,0.99004,1.69455,0.68961,0.8467,0.83349,0.67233,1.35588,0.83253,1.71364,7.15761e-05,7.15761e-05,7.15761e-05
74,373.548,2.7303,0.97113,1.70171,0.659,0.86246,0.83519,0.67946,1.30986,0.8284,1.7046,7.087e-05,7.087e-05,7.087e-05
75,379.081,2.71088,0.96061,1.67425,0.71611,0.8406,0.85635,0.68727,1.33176,0.79842,1.70505,7.01588e-05,7.01588e-05,7.01588e-05
76,384.688,2.92565,0.95425,1.65056,0.69584,0.87289,0.87367,0.71634,1.30039,0.85656,1.69096,6.94428e-05,6.94428e-05,6.94428e-05
77,390.208,2.60952,0.94029,1.6698,0.69273,0.87651,0.87055,0.70009,1.29876,0.78813,1.6808,6.87222e-05,6.87222e-05,6.87222e-05
78,395.606,2.78214,0.94297,1.61578,0.72546,0.87945,0.88348,0.71659,1.30872,0.76445,1.6744,6.7997e-05,6.7997e-05,6.7997e-05
79,401.212,2.7407,0.93156,1.64038,0.75437,0.87076,0.90565,0.73426,1.31656,0.83217,1.66587,6.72675e-05,6.72675e-05,6.72675e-05
80,406.859,2.85151,0.92298,1.62075,0.82117,0.86869,0.91469,0.73705,1.33428,0.74995,1.66522,6.65339e-05,6.65339e-05,6.65339e-05
81,412.369,2.84694,0.91181,1.59906,0.82142,0.86921,0.91744,0.73445,1.33143,0.73349,1.6562,6.57963e-05,6.57963e-05,6.57963e-05
82,418.236,2.73832,0.90232,1.61317,0.80596,0.86972,0.91501,0.74396,1.26689,0.75695,1.63963,6.5055e-05,6.5055e-05,6.5055e-05
83,423.999,2.80591,0.8981,1.59464,0.80491,0.87666,0.91258,0.73938,1.29563,0.73339,1.64066,6.43101e-05,6.43101e-05,6.43101e-05
84,429.626,2.81211,0.8965,1.59299,0.81278,0.87349,0.92345,0.7448,1.28649,0.70218,1.63081,6.35617e-05,6.35617e-05,6.35617e-05
85,435.2,2.66353,0.88956,1.58715,0.80736,0.87177,0.92094,0.74841,1.27294,0.7107,1.63145,6.28101e-05,6.28101e-05,6.28101e-05
86,441.008,2.75975,0.89053,1.57778,0.82992,0.88081,0.92326,0.7559,1.24536,0.71381,1.61798,6.20555e-05,6.20555e-05,6.20555e-05
87,446.876,2.47171,0.87092,1.61639,0.84246,0.87517,0.92993,0.75305,1.26478,0.70156,1.60958,6.12981e-05,6.12981e-05,6.12981e-05
88,452.504,2.64931,0.87504,1.58091,0.85378,0.88873,0.93865,0.77181,1.22051,0.70109,1.60218,6.0538e-05,6.0538e-05,6.0538e-05
89,458.279,2.61191,0.86375,1.56868,0.84048,0.88833,0.93462,0.76408,1.21455,0.70689,1.59617,5.97754e-05,5.97754e-05,5.97754e-05
90,463.86,2.59189,0.84745,1.55657,0.84559,0.89501,0.93549,0.76671,1.22618,0.6854,1.59381,5.90105e-05,5.90105e-05,5.90105e-05
